 0.77 0.706 0.0099    0.99 0.581 0.0000    1.15 0.708 0.0244    0.96 0.633 0.0309    1.09 0.693 0.0249    0.94 0.413 0.0980   
 1.41 0.571 0.0227    1.87 0.647 0.0271    2.42 0.497 0.0228    2.00 0.542 0.0403    1.85 0.557 0.0300    2.24 0.407 0.0814   
 1.98 0.574 0.0212    2.56 0.605 0.0104    3.17 0.591 0.0147    2.62 0.595 0.0298    2.51 0.777 0.0423    4.91 0.533 0.0298   
 2.43 0.540 0.0241    3.22 0.649 0.0193    4.02 0.560 0.0206    3.29 0.630 0.0352    3.49 0.620 0.0163   -1.00 -1.000 -1.0000   
 2.81 0.622 0.0154    3.76 0.556 0.0284    4.85 0.627 0.0282    4.06 0.628 0.0294    4.63 0.777 0.0153   -1.00 -1.000 -1.0000   
 3.24 0.603 0.0158    4.34 0.577 0.0174    5.70 0.693 0.0307    4.62 0.602 0.0459    5.75 0.873 0.0291   -1.00 -1.000 -1.0000   
 3.70 0.611 0.0149    5.17 0.493 0.0372    6.63 0.688 0.0246    5.27 0.647 0.0326    6.97 0.687 0.0371   -1.00 -1.000 -1.0000   
 4.12 0.589 0.0106   -1.00 -1.000 -1.0000    7.84 0.692 0.0180    6.00 0.656 0.0342   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
 4.54 0.596 0.0195   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000    6.78 0.607 0.0367   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
 5.00 0.624 0.0120   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000    7.40 0.758 0.0259   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
 5.51 0.681 0.0245   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
 6.05 0.702 0.0238   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
 6.72 0.670 0.0211   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
 7.37 0.732 0.0138   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
 8.38 0.762 0.0284   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   -1.00 -1.000 -1.0000   
